"
"Fast foods, english muffin, with egg, cheese, and canadian bacon",1.0 sandwich,4
"Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain",0.75 cups (1 NLEA serving),4
"Spices, cinnamon, ground",1.0 tsp,3
"Fast Foods, biscuit, with egg and sausage",1.0 item,3
"Bologna, chicken, turkey, pork",1.0 serving,3
"Pears, raw","1.0 cups, slices",3
"Cheese, swiss","1.0 cups, diced",3
"Soup, chicken gumbo, canned, condensed",0.5 cups (4 fl oz),3
"Grapefruit juice, white, canned, sweetened",1.0 cups,2
"Crackers, cheese, regular",0.5 oz,2
"Cheese, pasteurized process, American, fortified with vitamin D",1.0 oz,2
"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",1.0 cups,2
"Broccoli, frozen, chopped, unprepared",1.0 cups,2
"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",1.0 pastry,2
"Spices, nutmeg, ground",1.0 tsp,1
"Currants, zante, dried",1.0 cups,1
"Pie, fried pies, fruit",1.0 oz,1
"Cornmeal, whole-grain, white",1.0 cups,1
"Egg, whole, cooked, omelet",1.0 tbsp,1
"Cream puff, eclair, custard or cream filled, iced",4.0 oz,1
"Chicken, skin (drumsticks and thighs), raw",4.0 oz,1
"Soup, chicken noodle, dry, mix",1.0 packet,1
"Muffin, blueberry, commercially prepared, low-fat",1.0 muffin small,1
"Bread, pan dulce, sweet yeast bread",1.0 slice (average weight of 1 slice),1
"Salad dressing, mayonnaise type, regular, with salt",1.0 tbsp,1
"Cake, cheesecake, commercially prepared",1.0 oz,1
"Cake, coffeecake, cinnamon with crumb topping, dry mix, prepared",1.0 oz,1
"Cake, sponge, commercially prepared",1.0 oz,1
"Salad dressing, mayonnaise, regular",1.0 tbsp,1
"Bread, salvadoran sweet cheese (quesadilla salvadorena)",1.0 serving (approximate serving size),1
