NDB_No,DataSrc ID,Food No,FoodIndiv_Desc,Method,Cmpd_Name,Rptd CmpdVal,Rptd_Std Dev,Num_Data_Pts,LT,Rptd_Units,Fresh Dry_Wt,Quant_Std,Conv_Factor_G,Conv_Factor_M,Conv_Factor_SpGr,Cmpd_Val,Cmpt_StdDev
1103,R115,15,"Chocolate milk, semiskimmed (reduced fat)",HPLC-UV,Quercetin,1.3,,1,,mg/L,FW,Quercetin,1,,1.05,0.12,
1103,R115,15,"Chocolate milk, semiskimmed (reduced fat)",HPLC-UV,Myricetin,0.5,,1,,mg/L,FW,Myricetin,1,,1.05,0.05,
1103,R115,15,"Chocolate milk, semiskimmed (reduced fat)",HPLC-UV,Apigenin,0,,1,,mg/L,FW,Apigenin,1,,1.05,0,
1103,R115,15,"Chocolate milk, semiskimmed (reduced fat)",HPLC-UV,Luteolin,0,,1,,mg/L,FW,Luteolin,1,,1.05,0,
1103,R115,15,"Chocolate milk, semiskimmed (reduced fat)",HPLC-UV,Kaempferol,0,,1,,mg/L,FW,Kaempferol,1,,1.05,0,
2007,R163,3,"Celery seeds, purchased at a local food store, Maryland, U.S.",LC-DAD-ESI-MS,Luteolin 7-O-apiosulglucoside,6.32,,1,,mg/g,DW,Luteolin 7-O-glucoside,0.64,0.9396,,379.1,
2007,R163,3,"Celery seeds, purchased at a local food store, Maryland, U.S.",LC-DAD-ESI-MS,"Luteolin 7-O-6""-malonylapiosylglucoside",4.27,,1,,mg/g,DW,Luteolin 7-O-glucoside,0.64,0.9396,,256.13,
2007,R163,3,"Celery seeds, purchased at a local food store, Maryland, U.S.",LC-DAD-ESI-MS,Apigenin 7-O-apiosylglucoside,1.11,,1,,mg/g,DW,Apiin,0.48,0.9396,,49.88,
2007,R163,3,"Celery seeds, purchased at a local food store, Maryland, U.S.",LC-DAD-ESI-MS,Luteolin 7-O-malonylglucoside,0.92,,1,,mg/g,DW,Luteolin 7-O-glucoside,0.64,0.9396,,55.19,
2007,R163,3,"Celery seeds, purchased at a local food store, Maryland, U.S.",LC-DAD-ESI-MS,Luteolin 7-O-glucoside,0.8,,1,,mg/g,DW,Luteolin 7-O-glucoside,0.64,0.9396,,47.99,
2007,R163,3,"Celery seeds, purchased at a local food store, Maryland, U.S.",LC-DAD-ESI-MS,"Apigenin 7-O-6""-malonylapiosylglucoside",0.47,,1,,mg/g,DW,Apiin,0.48,0.9396,,21.12,
2007,R163,3,"Celery seeds, purchased at a local food store, Maryland, U.S.",LC-DAD-ESI-MS,Luteolin 7-O-malonylapiosylglucoside,0.4,,1,,mg/g,DW,Luteolin 7-O-glucoside,0.64,0.9396,,23.99,
2007,R163,3,"Celery seeds, purchased at a local food store, Maryland, U.S.",LC-DAD-ESI-MS,Apigenin 7-O-malonylapiosylglucoside,0.09,,1,,mg/g,DW,Apiin,0.48,0.9396,,4.04,
2007,R163,3,"Celery seeds, purchased at a local food store, Maryland, U.S.",LC-DAD-ESI-MS,Apigenin glycoside,0.08,,1,,mg/g,DW,Apiin,0.48,0.9396,,3.6,
2023,R308,2,"Marjoram, hard, sweet (Origanum x majoricum), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Apigenin,3.5,0.11,1,,mg/100g,FW,Apigenin,1,,,3.5,0.11
2023,R308,2,"Marjoram, hard, sweet (Origanum x majoricum), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Luteolin,0,0,1,,mg/100g,FW,Luteolin,1,,,0,0
2023,R308,2,"Marjoram, hard, sweet (Origanum x majoricum), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Naringin (naringenin-5-rhamnosidoglucoside),0,0,1,,mg/100g,FW,Naringin,0.47,,,0,0
2023,R308,2,"Marjoram, hard, sweet (Origanum x majoricum), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Rutin (Quercetin-3-rutinoside),0,0,1,,mg/100g,FW,Rutin,0.5,,,0,0
2023,R308,2,"Marjoram, hard, sweet (Origanum x majoricum), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Quercetin-3-O-rhamnosyl-(1-2)-rhamnosyl-(1-6)-glucoside,0,0,1,,mg/100g,FW,Rutin,0.5,,,0,0
2023,R308,2,"Marjoram, hard, sweet (Origanum x majoricum), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Kaempferol-3-O-rhamnosyl-(1-2)-rhamnosyl-(1-6)-glucoside,0,0,1,,mg/100g,FW,Rutin,0.47,,,0,0
2029,R179,12,"Parsley, dried, obtained from wholesalers and supermarkets, and pooled, Finland",HPLC-DAD/HPLC-EC,Apigenin,14842,,1,,mg/100g,DW,Apigenin,1,0.91,,13506.22,
2029,R179,12,"Parsley, dried, obtained from wholesalers and supermarkets, and pooled, Finland",HPLC-DAD/HPLC-EC,Isorhamnetin,364,,1,,mg/100g,DW,Isorhamnetin,1,0.91,,331.24,
2029,R179,12,"Parsley, dried, obtained from wholesalers and supermarkets, and pooled, Finland",HPLC-DAD/HPLC-EC,Luteolin,21.7,,1,,mg/100g,DW,Luteolin,1,0.91,,19.75,
2029,R179,12,"Parsley, dried, obtained from wholesalers and supermarkets, and pooled, Finland",HPLC-DAD/HPLC-EC,Kaempferol,0,,1,,mg/100g,DW,Kaempferol,1,0.91,,0,
2029,R124,17,"Dehydrated parsley, brand A, purchased from a supermarket in Campinas, Brazil",HPLC-DAD,Apigenin,24312,1755,1,,μg/g,FW,Apigenin,1,,,2431.2,175.5
2029,R124,17,"Dehydrated parsley, brand A, purchased from a supermarket in Campinas, Brazil",HPLC-DAD,Quercetin,0,,1,,μg/g,FW,Quercetin,1,,,0,0
2029,R124,18,"Dehydrated parsley, brand C, purchased from a supermarket in Campinas, Brazil",HPLC-DAD,Apigenin,25113,3761,1,,μg/g,FW,Apigenin,1,,,2511.3,376.1
2029,R124,18,"Dehydrated parsley, brand C, purchased from a supermarket in Campinas, Brazil",HPLC-DAD,Quercetin,0,,1,,μg/g,FW,Quercetin,1,,,0,
2029,R124,19,"Dehydrated parsley, brand D, purchased from a supermarket in Campinas, Brazil",HPLC-DAD,Apigenin,22942,5478,1,,μg/g,FW,Apigenin,1,,,2294.2,547.8
2029,R124,19,"Dehydrated parsley, brand D, purchased from a supermarket in Campinas, Brazil",HPLC-DAD,Quercetin,0,,1,,μg/g,FW,Quercetin,1,,,0,
2029,R124,20,"Dehydrated parsley, brand E, purchased from a supermarket in Campinas, Brazil",HPLC-DAD,Apigenin,17746,3661,1,,μg/g,FW,Apigenin,1,,,1774.6,366.1
2029,R124,20,"Dehydrated parsley, brand E, purchased from a supermarket in Campinas, Brazil",HPLC-DAD,Quercetin,0,,1,,μg/g,FW,Quercetin,1,,,0,
2037,R039,1,"Saffron, from Spain, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,Kaempferol-3-sophoroside,3.12,,3,,mg rutin/g,FW,Rutin,0.47,,,146.28,
2037,R039,1,"Saffron, from Spain, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,Kaempferol-3-sophoroside-7-glucoside,2.58,,3,,mg rutin/g,FW,Rutin,0.47,,,120.96,
2037,R039,1,"Saffron, from Spain, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,"Kaempferol-3,7,4'-triglucoside",1.09,,3,,mg rutin/g,FW,Rutin,0.47,,,51.1,
2037,R039,2,"Saffron, from Greece, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,Kaempferol-3-sophoroside-7-glucoside,2.24,,3,,mg rutin/g,FW,Rutin,0.47,,,105.02,
2037,R039,2,"Saffron, from Greece, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,"Kaempferol-3,7,4'-triglucoside",0.73,,3,,mg rutin/g,FW,Rutin,0.47,,,34.23,
2037,R039,2,"Saffron, from Greece, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,Kaempferol-3-sophoroside,0.61,,3,,mg rutin/g,FW,Rutin,0.47,,,28.6,
2037,R039,3,"Saffron, from Iran, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,Kaempferol-3-sophoroside-7-glucoside,1.47,,3,,mg rutin/g,FW,Rutin,0.47,,,68.92,
2037,R039,3,"Saffron, from Iran, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,Kaempferol-3-sophoroside,1.07,,3,,mg rutin/g,FW,Rutin,0.47,,,50.17,
2037,R039,3,"Saffron, from Iran, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,"Kaempferol-3,7,4'-triglucoside",0.59,,3,,mg rutin/g,FW,Rutin,0.47,,,27.66,
2037,R039,4,"Saffron, from Morocco, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,Kaempferol-3-sophoroside-7-glucoside,1.91,,3,,mg rutin/g,FW,Rutin,0.47,,,89.55,
2037,R039,4,"Saffron, from Morocco, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,Kaempferol-3-sophoroside,1.24,,3,,mg rutin/g,FW,Rutin,0.47,,,58.14,
2037,R039,4,"Saffron, from Morocco, obtained directly from producers with guarantee of origin and lack of adulteration",HPLC-DAD-ESI-MS-MS,"Kaempferol-3,7,4'-triglucoside",0.88,,3,,mg rutin/g,FW,Rutin,0.47,,,41.26,
2044,R133,1,"Basil, (Ocinum basilicum), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Quercetin,0,,1,,mg/100g,FW,Quercetin,1,,,0,
2044,R133,1,"Basil, (Ocinum basilicum), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Kaempferol,0,,1,,mg/100g,FW,Kaempferol,1,,,0,
2044,R133,1,"Basil, (Ocinum basilicum), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Apigenin,0,,1,,mg/100g,FW,Apigenin,1,,,0,
2044,R133,1,"Basil, (Ocinum basilicum), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Luteolin,0,,1,,mg/100g,FW,Luteolin,1,,,0,
2044,R133,1,"Basil, (Ocinum basilicum), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Isorhamnetin,0,,1,,mg/100g,FW,Isorhamnetin,1,,,0,
2044,R133,1,"Basil, (Ocinum basilicum), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Hesperetin,0,,1,,mg/100g,FW,Hesperetin,1,,,0,
2045,R133,5,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Quercetin,48,,1,,mg/100g,FW,Quercetin,1,,,48,
2045,R133,5,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Kaempferol,16,,1,,mg/100g,FW,Kaempferol,1,,,16,
2045,R133,5,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Isorhamnetin,15,,1,,mg/100g,FW,Isorhamnetin,1,,,15,
2045,R133,5,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Apigenin,0,,1,,mg/100g,FW,Apigenin,1,,,0,
2045,R133,5,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Luteolin,0,,1,,mg/100g,FW,Luteolin,1,,,0,
2045,R133,5,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Hesperetin,0,,1,,mg/100g,FW,Hesperetin,1,,,0,
2045,R133,6,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Quercetin,110,,1,,mg/100g,FW,Quercetin,1,,,110,
2045,R133,6,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Isorhamnetin,72,,1,,mg/100g,FW,Isorhamnetin,1,,,72,
2045,R133,6,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Kaempferol,24,,1,,mg/100g,FW,Kaempferol,1,,,24,
2045,R133,6,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Apigenin,0,,1,,mg/100g,FW,Apigenin,1,,,0,
2045,R133,6,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Luteolin,0,,1,,mg/100g,FW,Luteolin,1,,,0,
2045,R133,6,"Dill (Anethum graveolens), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Hesperetin,0,,1,,mg/100g,FW,Hesperetin,1,,,0,
2045,R170,7,"Dill, purchased in the local markets in Budapest, Hungary",HPLC-UV,Quercetin,74.5,,1,,mg/kg,FW,Quercetin,1,,,7.45,
2045,R170,7,"Dill, purchased in the local markets in Budapest, Hungary",HPLC-UV,Myricetin,7,,1,,mg/kg,FW,Myricetin,1,,,0.7,
2045,R170,7,"Dill, purchased in the local markets in Budapest, Hungary",HPLC-UV,Kaempferol,0,,1,,mg/kg,FW,Kaempferol,1,,,0,
2045,R170,7,"Dill, purchased in the local markets in Budapest, Hungary",HPLC-UV,Luteolin,0,,1,,mg/kg,FW,Luteolin,1,,,0,
2045,R170,7,"Dill, purchased in the local markets in Budapest, Hungary",HPLC-UV,Apigenin,0,,1,,mg/kg,FW,Apigenin,1,,,0,
2049,R133,18,"Thyme (Thymus vulgaris), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Luteolin,51,,1,,mg/100g,FW,Luteolin,1,,,51,
2049,R133,18,"Thyme (Thymus vulgaris), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Apigenin,5,,1,,mg/100g,FW,Apigenin,1,,,5,
2049,R133,18,"Thyme (Thymus vulgaris), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Quercetin,0,,1,,mg/100g,FW,Quercetin,1,,,0,
2049,R133,18,"Thyme (Thymus vulgaris), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Kaempferol,0,,1,,mg/100g,FW,Kaempferol,1,,,0,
2049,R133,18,"Thyme (Thymus vulgaris), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Isorhamnetin,0,,1,,mg/100g,FW,Isorhamnetin,1,,,0,
2049,R133,18,"Thyme (Thymus vulgaris), purchased in the local grocery store, Soborg, Denmark",HPLC-DAD,Hesperetin,0,,1,,mg/100g,FW,Hesperetin,1,,,0,
2049,R308,4,"Garden Thyme (Thymus vulgaris), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Luteolin,39.5,1.53,1,,mg/100g,FW,Luteolin,1,,,39.5,1.53
2049,R308,4,"Garden Thyme (Thymus vulgaris), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Apigenin,0,0,1,,mg/100g,FW,Apigenin,1,,,0,0
2049,R308,4,"Garden Thyme (Thymus vulgaris), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Naringin (naringenin-5-rhamnosidoglucoside),0,0,1,,mg/100g,FW,Naringin,0.47,,,0,0
2049,R308,4,"Garden Thyme (Thymus vulgaris), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Rutin (Quercetin-3-rutinoside),0,0,1,,mg/100g,FW,Rutin,0.5,,,0,0
2049,R308,4,"Garden Thyme (Thymus vulgaris), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Quercetin-3-O-rhamnosyl-(1-2)-rhamnosyl-(1-6)-glucoside,0,0,1,,mg/100g,FW,Rutin,0.5,,,0,0
2049,R308,4,"Garden Thyme (Thymus vulgaris), collected on September 2000 from National Herb Garden (part of U.S. National Arboretum in Washington, DC)",HPLC-DAD,Kaempferol-3-O-rhamnosyl-(1-2)-rhamnosyl-(1-6)-glucoside,0,0,1,,mg/100g,FW,Rutin,0.47,,,0,0
2054,R125,1,"Capers, commercial, Spain (Iberian peninsula)",HPLC-DAD,Quercetin 3-rutinoside,2.01,,1,,mg/g,FW,Rutin,0.5,,,99.52,
2054,R125,1,"Capers, commercial, Spain (Iberian peninsula)",HPLC-DAD,Kaempferol 3-rutinoside,0.75,,1,,mg/g,FW,Rutin,0.47,,,35.16,
2054,R125,1,"Capers, commercial, Spain (Iberian peninsula)",HPLC-DAD,"Kaempferol, free",0.42,,1,,mg/g,FW,Rutin,0.47,,,19.69,
2054,R125,1,"Capers, commercial, Spain (Iberian peninsula)",HPLC-DAD,"Quercetin, free",0.21,,1,,mg/g,FW,Rutin,0.5,,,10.4,
2054,R125,1,"Capers, commercial, Spain (Iberian peninsula)",HPLC-DAD,Kaempferol 3-rhamnosyl rutinoside,0.19,,1,,mg/g,FW,Rutin,0.47,,,8.91,
2054,R125,2,"Capers, commercial, Spain (Balearic Island 1)",HPLC-DAD,"Kaempferol, free",2.8,,1,,mg/g,FW,Rutin,0.47,,,131.28,
2054,R125,2,"Capers, commercial, Spain (Balearic Island 1)",HPLC-DAD,Quercetin 3-rutinoside,1.31,,1,,mg/g,FW,Rutin,0.5,,,64.86,
2054,R125,2,"Capers, commercial, Spain (Balearic Island 1)",HPLC-DAD,"Quercetin, free",0.5,,1,,mg/g,FW,Rutin,0.5,,,24.75,
2054,R125,2,"Capers, commercial, Spain (Balearic Island 1)",HPLC-DAD,Kaempferol 3-rutinoside,0.16,,1,,mg/g,FW,Rutin,0.47,,,7.5,
2054,R125,2,"Capers, commercial, Spain (Balearic Island 1)",HPLC-DAD,Kaempferol 3-rhamnosyl rutinoside,0,,1,,mg/g,FW,Rutin,0.47,,,0,
2054,R125,3,"Capers, commercial, Spain (Balearic Island 2)",HPLC-DAD,Quercetin 3-rutinoside,1.14,,1,,mg/g,FW,Rutin,0.5,,,56.44,
2054,R125,3,"Capers, commercial, Spain (Balearic Island 2)",HPLC-DAD,"Kaempferol, free",1.09,,1,,mg/g,FW,Rutin,0.47,,,51.1,
2054,R125,3,"Capers, commercial, Spain (Balearic Island 2)",HPLC-DAD,"Quercetin, free",0.45,,1,,mg/g,FW,Rutin,0.5,,,22.28,
2054,R125,3,"Capers, commercial, Spain (Balearic Island 2)",HPLC-DAD,Kaempferol 3-rutinoside,0.18,,1,,mg/g,FW,Rutin,0.47,,,8.44,
2054,R125,3,"Capers, commercial, Spain (Balearic Island 2)",HPLC-DAD,Kaempferol 3-rhamnosyl rutinoside,0,,1,,mg/g,FW,Rutin,0.47,,,0,
2054,R125,4,"Capers, commercial, Spain (Balearic Island 3)",HPLC-DAD,Quercetin 3-rutinoside,3.11,,1,,mg/g,FW,Rutin,0.5,,,153.98,
2054,R125,4,"Capers, commercial, Spain (Balearic Island 3)",HPLC-DAD,"Kaempferol, free",1.46,,1,,mg/g,FW,Rutin,0.47,,,68.45,
2054,R125,4,"Capers, commercial, Spain (Balearic Island 3)",HPLC-DAD,Kaempferol 3-rutinoside,1.09,,1,,mg/g,FW,Rutin,0.47,,,51.1,
2054,R125,4,"Capers, commercial, Spain (Balearic Island 3)",HPLC-DAD,"Quercetin, free",0.32,,1,,mg/g,FW,Rutin,0.5,,,15.84,
2054,R125,4,"Capers, commercial, Spain (Balearic Island 3)",HPLC-DAD,Kaempferol 3-rhamnosyl rutinoside,0.25,,1,,mg/g,FW,Rutin,0.47,,,11.72,
2054,R125,5,"Capers, commercial, Spain (Balearic Island 4)",HPLC-DAD,"Kaempferol, free",1.41,,1,,mg/g,FW,Rutin,0.47,,,66.11,
2054,R125,5,"Capers, commercial, Spain (Balearic Island 4)",HPLC-DAD,Quercetin 3-rutinoside,1.3,,1,,mg/g,FW,Rutin,0.5,,,64.36,
2054,R125,5,"Capers, commercial, Spain (Balearic Island 4)",HPLC-DAD,"Quercetin, free",0.52,,1,,mg/g,FW,Rutin,0.5,,,25.74,
2054,R125,5,"Capers, commercial, Spain (Balearic Island 4)",HPLC-DAD,Kaempferol 3-rutinoside,0.16,,1,,mg/g,FW,Rutin,0.47,,,7.5,
2054,R125,5,"Capers, commercial, Spain (Balearic Island 4)",HPLC-DAD,Kaempferol 3-rhamnosyl rutinoside,0,,1,,mg/g,FW,Rutin,0.47,,,0,
2054,R125,6,"Capers, commercial, Turkey 1",HPLC-DAD,Quercetin 3-rutinoside,5.07,,1,,mg/g,FW,Rutin,0.5,,,251.02,
2054,R125,6,"Capers, commercial, Turkey 1",HPLC-DAD,Kaempferol 3-rutinoside,2.63,,1,,mg/g,FW,Rutin,0.47,,,123.31,
2054,R125,6,"Capers, commercial, Turkey 1",HPLC-DAD,"Kaempferol, free",1.7,,1,,mg/g,FW,Rutin,0.47,,,79.7,
2054,R125,6,"Capers, commercial, Turkey 1",HPLC-DAD,"Quercetin, free",0.46,,1,,mg/g,FW,Rutin,0.5,,,22.77,
2054,R125,6,"Capers, commercial, Turkey 1",HPLC-DAD,Kaempferol 3-rhamnosyl rutinoside,0,,1,,mg/g,FW,Rutin,0.47,,,0,
2054,R125,7,"Capers, commercial, Turkey 2",HPLC-DAD,Quercetin 3-rutinoside,5.41,,1,,mg/g,FW,Rutin,0.5,,,267.85,
2054,R125,7,"Capers, commercial, Turkey 2",HPLC-DAD,Kaempferol 3-rutinoside,2.76,,1,,mg/g,FW,Rutin,0.47,,,129.4,
2054,R125,7,"Capers, commercial, Turkey 2",HPLC-DAD,"Kaempferol, free",1.1,,1,,mg/g,FW,Rutin,0.47,,,51.57,
2054,R125,7,"Capers, commercial, Turkey 2",HPLC-DAD,"Quercetin, free",0.32,,1,,mg/g,FW,Rutin,0.5,,,15.84,
2054,R125,7,"Capers, commercial, Turkey 2",HPLC-DAD,Kaempferol 3-rhamnosyl rutinoside,0,,1,,mg/g,FW,Rutin,0.47,,,0,
2054,R125,8,"Capers, commercial, Turkey 3",HPLC-DAD,"Kaempferol, free",1.2,,1,,mg/g,FW,Rutin,0.47,,,56.26,
2054,R125,8,"Capers, commercial, Turkey 3",HPLC-DAD,Quercetin 3-rutinoside,0.76,,1,,mg/g,FW,Rutin,0.5,,,37.63,
2054,R125,8,"Capers, commercial, Turkey 3",HPLC-DAD,Kaempferol 3-rutinoside,0.15,,1,,mg/g,FW,Rutin,0.47,,,7.03,
2054,R125,8,"Capers, commercial, Turkey 3",HPLC-DAD,"Quercetin, free",0.15,,1,,mg/g,FW,Rutin,0.5,,,7.43,
2054,R125,8,"Capers, commercial, Turkey 3",HPLC-DAD,Kaempferol 3-rhamnosyl rutinoside,0.09,,1,,mg/g,FW,Rutin,0.47,,,4.22,
2054,R125,9,"Capers, commercial, Morocco 1",HPLC-DAD,Quercetin 3-rutinoside,10.47,,1,,mg/g,FW,Rutin,0.5,,,518.37,
2054,R125,9,"Capers, commercial, Morocco 1",HPLC-DAD,Kaempferol 3-rutinoside,4.65,,1,,mg/g,FW,Rutin,0.47,,,218.02,
2054,R125,9,"Capers, commercial, Morocco 1",HPLC-DAD,"Kaempferol, free",0.5,,1,,mg/g,FW,Rutin,0.47,,,23.44,
2054,R125,9,"Capers, commercial, Morocco 1",HPLC-DAD,Kaempferol 3-rhamnosyl rutinoside,0.17,,1,,mg/g,FW,Rutin,0.47,,,7.97,
2054,R125,9,"Capers, commercial, Morocco 1",HPLC-DAD,"Quercetin, free",0.03,,1,,mg/g,FW,Rutin,0.5,,,1.49,
2054,R125,10,"Capers, commercial, Morocco 2",HPLC-DAD,Quercetin 3-rutinoside,3.03,,1,,mg/g,FW,Rutin,0.5,,,150.02,
2054,R125,10,"Capers, commercial, Morocco 2",HPLC-DAD,Kaempferol 3-rutinoside,1.62,,1,,mg/g,FW,Rutin,0.47,,,75.95,
2054,R125,10,"Capers, commercial, Morocco 2",HPLC-DAD,"Kaempferol, free",0.66,,1,,mg/g,FW,Rutin,0.47,,,30.94,
2054,R125,10,"Capers, commercial, Morocco 2",HPLC-DAD,Kaempferol 3-rhamnosyl rutinoside,0.51,,1,,mg/g,FW,Rutin,0.47,,,23.91,
2054,R125,10,"Capers, commercial, Morocco 2",HPLC-DAD,"Quercetin, free",0.03,,1,,mg/g,FW,Rutin,0.5,,,1.49,
2054,R125,11,"Capers, commercial, Morocco 3",HPLC-DAD,Quercetin 3-rutinoside,4,,1,,mg/g,FW,Rutin,0.5,,,198.04,
2054,R125,11,"Capers, commercial, Morocco 3",HPLC-DAD,Kaempferol 3-rutinoside,3.24,,1,,mg/g,FW,Rutin,0.47,,,151.91,
2054,R125,11,"Capers, commercial, Morocco 3",HPLC-DAD,"Kaempferol, free",0.39,,1,,mg/g,FW,Rutin,0.47,,,18.29,
2054,R125,11,"Capers, commercial, Morocco 3",HPLC-DAD,Kaempferol 3-rhamnosyl rutinoside,0.34,,1,,mg/g,FW,Rutin,0.47,,,15.94,
2054,R125,11,"Capers, commercial, Morocco 3",HPLC-DAD,"Quercetin, free",0.08,,1,,mg/g,FW,Rutin,0.5,,,3.96,
2054,R125,12,"Capers, commercial, Morocco 4",HPLC-DAD,Quercetin 3-rutinoside,4.96,,1,,mg/g,FW,Rutin,0.5,,,245.57,
